City,Longitude,Latitude,Temperature,Wind Speed,Humidity,Cloudiness
Bonavista,-53.1147,48.6499,50.0,13.0,82,6
Grand Gaube,57.6608,-20.0064,74.37,3.0,89,19
Ruhengeri,29.635,-1.4998,58.19,1.66,96,75
Ubari,12.7805,26.5921,92.39,3.42,10,0
Ugoofaaru,73.0,5.6667,82.92,20.04,75,77
Pringsewu,104.9744,-5.3582,73.27,2.51,96,100
Chacaltianguis,-95.8333,18.3333,100.54,7.67,34,71
Aykhal,111.5,66.0,51.49,5.01,62,36
Gombong,109.5142,-7.6072,75.11,1.57,94,100
Isangel,169.2667,-19.55,72.91,1.68,55,100
College,-147.8028,64.8569,47.57,12.66,44,75
Coyhaique,-72.0662,-45.5752,44.55,3.44,61,75
Saint-Pierre,55.4781,-21.3393,67.96,3.44,67,0
Jönköping,14.1562,57.7814,53.31,0.0,71,9
Bathsheba,-59.5167,13.2167,86.61,15.21,54,40
Kano,8.5167,12.0001,80.49,2.3,74,0
Burē,37.0667,10.7,63.41,4.0,36,42
Lukovetskiy,41.9211,64.2956,35.58,4.45,91,32
Buraidah,43.975,26.326,95.45,8.75,11,8
Cidreira,-50.2056,-30.1811,61.2,11.01,72,1
Cochrane,-114.4687,51.1834,62.22,9.84,28,40
Noumea,166.4572,-22.2763,71.01,11.43,99,83
Smidovich,133.8167,48.6,50.95,12.57,82,100
Mount Isa,139.5,-20.7333,55.17,8.05,38,1
Kormilovka,74.1028,55.0026,60.55,9.33,51,1
Bobo-Dioulasso,-4.2979,11.1771,90.05,1.14,58,0
Saint Paul Harbor,-152.4072,57.79,45.91,9.22,93,90
Sitka,-135.33,57.0531,55.29,16.11,58,75
Bandarbeyla,50.8122,9.4942,79.63,25.14,83,79
Kahului,-156.47,20.8947,81.91,5.75,64,20
Mouzourás,24.15,35.5333,66.2,5.75,94,20
Dubbo,148.6167,-32.25,35.73,11.5,87,0
Simdega,84.5167,22.6167,80.15,4.5,73,15
Kruisfontein,24.7314,-34.0033,53.89,12.8,89,47
Drumnadrochit,-4.4799,57.3344,52.03,3.36,98,50
Bambanglipuro,110.2833,-7.95,60.6,3.89,89,100
Hervey Bay,152.8535,-25.2986,54.01,3.0,71,98
Chanthaburi,102.1667,12.8333,71.02,2.53,95,70
Sayyan,44.3244,15.1718,66.2,0.67,29,96
Waingapu,120.2641,-9.6567,74.19,4.59,86,77
Praia,-23.5087,14.9215,73.94,17.27,68,20
Sembakung,117.25,3.8167,74.08,2.53,99,70
Erie,-78.6664,42.7667,56.77,5.99,49,99
Aklavik,-135.0107,68.2191,33.8,9.22,69,90
Hīt,42.8251,33.6416,85.93,8.39,12,0
Salalah,54.0924,17.0151,84.29,6.91,89,75
Araouane,-3.5265,18.9048,100.02,3.47,16,86
Vikersund,9.995,59.9659,57.81,3.11,65,5
Beringovskiy,179.3167,63.05,32.9,10.54,81,7
Nadym,72.5167,65.5333,52.7,14.79,88,100
Morro Bay,-120.8499,35.3658,65.98,7.0,65,17
Price,-110.8107,39.5994,78.26,18.41,15,1
Sur,59.5289,22.5667,87.1,11.34,55,27
Peniche,-9.3811,39.3558,59.77,18.07,84,11
Mayumba,10.6554,-3.432,76.93,6.11,91,41
Quatre Cocos,57.7625,-20.2078,74.08,5.28,83,43
Yangi Marg`ilon,71.7189,40.4272,77.72,11.5,27,52
Dingle,122.6711,10.9995,77.45,1.68,91,95
Adrar,-10.0711,20.5022,96.66,9.82,10,100
Hamilton,-84.5333,39.1834,54.64,3.0,76,90
Nemuro,145.575,43.3236,45.45,11.43,98,96
Iqaluit,-68.5145,63.7506,29.93,21.85,74,90
Güira de Melena,-82.5053,22.7906,90.12,6.15,59,80
Honningsvåg,25.9704,70.9821,41.22,23.53,88,100
San Borja,-66.85,-14.8167,81.1,2.24,70,100
Katobu,122.5276,-4.9408,74.16,3.29,92,59
Escanaba,-87.0646,45.7453,58.84,13.8,47,1
Bitkine,18.2138,11.9801,92.37,3.56,16,7
Tezu,96.1667,27.9167,75.09,3.85,77,98
Tchibanga,11.0333,-2.85,72.07,2.06,98,44
Waipawa,175.5153,-41.4122,47.17,2.89,90,100
Udachny,112.4,66.4167,52.66,5.97,63,6
Muisne,-80.0333,0.6,84.31,9.35,80,71
Nānākuli,-158.1547,21.3906,81.3,4.65,57,1
Vardø,31.1107,70.3705,39.02,10.18,85,71
Altay,88.1167,47.8667,55.31,3.85,47,0
Ekhabi,142.9671,53.5102,35.78,14.16,93,100
Mananara,49.7667,-16.1667,69.15,4.29,90,35
Putina,-69.4333,-15.4667,49.82,9.69,53,97
Puerto Escondido,-97.0667,15.85,88.18,8.84,60,23
Ixtapa,-105.2,20.7,83.43,17.27,70,1
Poum,164.0167,-20.2333,70.66,18.92,64,81
Primo Tapia,-116.9172,32.22,66.0,10.67,63,28
Mumford,-0.759,5.2618,80.87,7.18,84,100
Honiara,159.95,-9.4333,77.58,1.81,89,98
Great Yarmouth,1.7305,52.6083,50.36,8.39,91,3
Viedma,-62.9967,-40.8135,48.76,18.05,42,12
Mersing,103.8405,2.4312,76.91,5.75,94,98
Natal,-35.2094,-5.795,80.82,12.19,74,75
Chara,118.2631,56.9064,48.63,1.57,72,70
Saint-Joseph,55.6167,-21.3667,66.88,5.19,80,8
Havelock,-76.9013,34.8791,79.93,11.99,77,75
Tiznit Province,-9.5,29.5833,79.92,7.83,36,100
Ndélé,20.6473,8.4109,84.11,2.15,40,88
Elliot Lake,-82.6331,46.3834,60.89,1.21,22,0
Kobryn,24.3564,52.2138,50.38,12.44,92,100
Valera,-70.6036,9.3178,78.04,1.32,89,100
Itaparica,-38.6786,-12.8883,80.53,7.81,72,100
Hastings,0.5729,50.8552,52.61,14.52,91,1
Bānka,86.9167,24.8833,83.44,7.67,73,21
Necochea,-58.7368,-38.5473,47.03,19.06,55,55
Homer,-151.5483,59.6425,47.97,0.0,88,90
Monywa,95.1333,22.1167,87.85,11.56,56,90
Kamaishi,141.8833,39.2667,58.8,5.26,76,20
Jijiga,42.8,9.35,62.89,7.36,79,6
Forsytheganj,29.7333,52.6333,52.27,8.77,94,100
Okhotsk,143.3,59.3833,36.28,9.26,90,99
Banda Aceh,95.3222,5.5577,78.03,15.28,88,100
Wamba,8.6,8.9333,76.24,4.27,78,100
Berea,-81.8543,41.3662,53.46,7.0,64,75
Vidim,103.1106,56.4088,32.32,2.57,81,100
Moreira Sales,-53.0069,-24.0622,76.68,5.46,46,100
Am Timan,20.2827,11.0297,92.55,5.32,24,10
Toora-Khem,96.11,52.4675,32.85,3.02,85,75
Vancouver,-123.1193,49.2497,63.91,5.99,63,20
Ende,121.6623,-8.8432,74.44,1.97,86,96
Maragogi,-35.2225,-9.0122,76.64,7.18,75,18
Sarangani,125.4636,5.4033,83.77,13.13,76,100
Tateyama,139.8667,34.9833,65.32,5.66,82,100
Tombouctou,-3.0,20.0,97.12,12.1,9,1
Mehamn,27.8492,71.0357,40.87,17.22,93,99
Sept-Îles,-66.3821,50.2001,50.13,1.99,64,20
Hiriyūr,76.6192,13.9456,76.08,14.83,73,48
Portland,-122.6762,45.5234,74.62,1.01,45,20
San Policarpo,125.5072,12.1791,78.87,4.14,89,82
Dicabisagan,122.4157,17.0818,79.48,3.87,83,74
Cranbrook,-115.7688,49.4999,62.44,3.69,29,20
Skibbereen,-9.2667,51.55,53.4,1.57,89,7
Santiago del Estero,-64.2615,-27.7951,66.33,6.8,34,0
Östersund,14.6357,63.1792,52.25,10.36,58,3
Thinadhoo,72.9333,0.5333,83.61,20.38,73,60
Bachaquero,-71.1494,9.9694,82.63,3.6,72,100
Kidal,1.4078,18.4411,94.87,9.69,6,99
Tuy Hoa,109.3,13.0833,78.76,5.84,85,89
Santo Estêvão,-39.2514,-12.4303,73.58,7.45,68,100
Port Blair,92.75,11.6667,80.94,5.44,84,100
Portobelo,-79.65,9.55,78.69,6.35,81,61
Sibolga,98.7792,1.7427,76.59,3.4,90,85
Cayenne,-52.3333,4.9333,81.09,8.48,86,90
Yuancheng,107.7896,36.652,65.82,3.11,36,37
Kamenka,42.7678,51.3223,60.58,5.59,94,70
Gloucester,-2.2431,51.8657,58.98,4.88,86,46
Vostok,135.8833,46.4856,44.13,2.53,86,100
Riberalta,-66.1,-10.9833,91.6,2.17,55,40
Iskateley,53.1512,67.6803,32.5,11.99,73,97
Curicó,-71.2333,-34.9833,51.91,9.22,82,75
Tosya,34.0401,41.0155,55.56,4.41,86,100
Myingyan,95.3833,21.4667,85.3,13.0,62,100
Taltal,-70.4833,-25.4,66.43,4.03,70,24
Yinchuan,106.2731,38.4681,70.54,7.47,25,83
Naze,129.4833,28.3667,65.23,3.56,90,100
Pangody,74.4859,65.85,52.99,18.32,90,100
Cap Malheureux,57.6142,-19.9842,74.46,3.0,89,14
Kumbhrāj,77.05,24.3667,91.98,4.76,33,100
Lompoc,-120.4579,34.6391,62.04,17.27,74,90
Caibarién,-79.4669,22.5206,74.52,14.07,67,4
Suixi,116.7747,33.8907,69.87,6.91,85,64
North Platte,-100.7654,41.1239,56.32,1.01,84,90
Aksarka,67.7975,66.5606,39.49,10.76,75,5
Touros,-35.4608,-5.1989,81.5,14.67,77,6
Jacareacanga,-57.7528,-6.2222,86.31,1.77,57,30
Vila Franca do Campo,-25.4333,37.7167,64.81,5.39,82,52
Hurghada,33.8129,27.2574,86.04,6.91,19,0
Carbondale,-89.2168,37.7273,56.66,12.66,77,90
Uray,64.7758,60.1247,57.04,6.73,73,100
Taganak,118.3,6.0833,77.09,5.99,72,53
Kānt,79.8,27.8,79.66,3.96,65,51
San Antero,-75.7589,9.3741,82.65,6.96,77,100
Bonthe,-12.505,7.5264,82.08,5.26,82,10
Santa Rita do Sapucaí,-45.7033,-22.2522,66.9,2.98,80,99
Dinar,30.1656,38.065,60.76,2.26,71,4
Balezino,53.0106,57.9796,57.76,3.56,97,100
Codrington,141.9667,-38.2667,39.47,6.49,95,7
Malakal,31.6605,9.5334,87.19,5.59,39,1
Vanimo,141.3028,-2.6741,77.92,4.18,90,100
Wagga Wagga,147.3667,-35.1167,27.01,3.38,100,0
Mangai,19.5333,-4.05,75.69,0.51,68,79
Dunedin,170.5036,-45.8742,49.8,12.35,96,100
Yagodnoye,149.6667,62.55,41.76,5.82,63,66
Oranjemund,16.4333,-28.55,57.6,14.7,82,100
Bara,10.7288,10.3744,87.58,5.53,44,100
Perevoz,44.5446,55.5961,56.79,9.91,93,42
Urengoy,78.3667,65.9667,44.02,20.11,57,77
Prince George,-122.753,53.9166,61.92,1.99,43,1
Port Hawkesbury,-61.3485,45.6169,45.03,3.0,74,75
Acajutla,-89.8275,13.5928,98.94,6.73,63,40
Meadow Lake,-106.5436,34.8014,87.51,17.45,7,91
Konibodom,70.4426,40.2843,78.57,3.38,33,41
Husavik,-17.3389,66.0449,53.51,15.05,61,100
Pontianak,109.3333,-0.0333,73.38,3.02,100,90
La Orilla,-102.2333,17.9833,88.07,12.71,57,88
Ayorou,0.9174,14.7308,94.87,9.44,11,1
Chumikan,135.315,54.7183,36.3,8.16,92,100
Mimongo,11.6068,-1.6195,71.2,0.58,97,88
Wahpeton,-96.6059,46.2652,60.57,16.11,51,75
Kholtoson,103.3097,50.2981,36.63,3.58,99,100
Juegang,121.1855,32.3174,68.16,5.64,84,29
Garoowe,48.4845,8.4054,79.56,16.24,61,9
Obo,26.4869,5.3998,68.97,4.21,89,64
São Bento,-37.75,-6.2833,76.28,0.6,44,2
Saint-Leu,55.2833,-21.15,67.44,5.08,76,0
Morant Bay,-76.4093,17.8815,83.88,8.84,73,11
Sainte-Anne-des-Monts,-66.4924,49.124,48.07,2.44,61,33
San Juan,-68.5364,-31.5375,71.73,8.81,38,100
Jinchang,102.1739,38.4953,66.51,5.14,30,92
Bima,118.7167,-8.4667,73.49,2.95,95,30
Tautira,-149.15,-17.7333,84.22,13.09,72,99
Burley,-113.7928,42.5357,66.18,3.44,27,1
Ponta Delgada,-25.6667,37.7333,65.12,8.05,77,75
Phan Thiet,108.1,10.9333,78.17,6.02,90,79
Luau,22.2247,-10.7073,58.21,5.03,37,86
Whitehorse,-135.0538,60.7161,50.54,18.99,46,90
Kaabong,34.1492,3.4836,67.75,9.13,66,34
Acaraú,-40.12,-2.8856,80.2,13.62,80,73
Tuensang,94.8333,26.2833,68.59,2.19,97,64
Inírida,-67.9239,3.8653,82.06,2.19,89,73
San Francisco,-122.4194,37.7749,60.12,4.0,77,75
São João da Barra,-41.0511,-21.6403,84.29,14.99,84,21
Puerto Carreño,-67.4859,6.189,85.57,3.47,69,89
Flin Flon,-101.865,54.7682,49.84,14.74,87,90
Kloulklubed,134.2556,7.0419,79.3,16.51,83,100
Poya,165.15,-21.35,68.85,6.62,59,87
Havre-St-Pierre,-63.5986,50.2334,52.16,20.71,54,1
Porto Walter,-72.7439,-8.2686,90.59,2.91,45,27
Gobabis,18.9667,-22.45,59.45,8.16,30,12
Terenos,-54.8603,-20.4422,85.71,4.72,45,40
La Romana,-68.9728,18.4273,82.76,11.5,83,40
Webuye,34.7697,0.6075,65.61,4.41,92,74
Mandan,-100.8896,46.8267,63.16,5.01,61,40
Kampong Thom,104.8887,12.7111,79.41,1.66,85,95
Fort Nelson,-122.7002,58.8053,65.79,10.36,26,75
Haines Junction,-137.5108,60.7522,51.75,8.05,40,96
Mareeba,145.4333,-17.0,60.39,2.71,90,65
Mezhdurechensk,88.0603,53.6942,35.91,2.15,89,10
Belozërskoye,65.5842,55.8214,60.21,7.87,51,11
Moose Factory,-80.6094,51.2585,60.78,13.8,44,1
Pithora,82.5167,21.2667,87.57,4.9,41,61
San Isidro,-77.05,-12.1167,65.25,7.99,86,90
Key Largo,-80.4473,25.0865,83.95,11.21,58,1
Kiama,150.8667,-34.6833,53.01,5.99,69,97
Goundam,-3.6708,16.4145,99.09,6.24,16,64
Meulaboh,96.1285,4.1363,76.96,3.18,86,100
Kununurra,128.7333,-15.7667,57.18,3.44,72,100
Melfort,-104.6177,52.8667,66.33,20.71,20,85
Ampanihy,44.75,-24.7,63.46,4.21,79,0
Saskatoon,-106.6345,52.1168,67.87,15.01,32,75
Nago,127.9761,26.5881,69.85,13.56,93,100
Calabozo,-67.4293,8.9242,91.87,6.22,38,52
Calama,-68.9333,-22.4667,66.69,16.11,19,0
Rocha,-54.3333,-34.4833,47.46,12.46,60,6
Erzin,36.2,36.9559,70.0,1.34,88,32
Puerto Ayacucho,-67.6236,5.6639,84.07,1.52,75,80
Caraballeda,-66.8522,10.6112,84.27,10.42,65,66
Esim,-2.2405,4.8699,80.17,7.65,85,70
Alekseyevsk,108.3492,57.8406,36.46,3.0,87,100
Anantapur,77.6,14.6833,83.19,15.84,61,58
Vestmannaeyjar,-20.2734,63.4427,45.46,33.71,87,100
Belfast,-5.9333,54.5833,58.82,4.61,72,0
Asău,26.4,46.4333,54.05,2.44,97,98
Luang Prabang,102.1347,19.8856,74.57,1.9,95,83
Gorontalo,123.0595,0.5412,75.0,2.15,94,96
Bukama,25.85,-9.2,64.15,2.13,43,49
Huadian,126.7478,42.9633,47.93,3.13,84,56
Karatau,70.4667,43.1667,71.98,1.48,35,47
Dédougou,-3.4667,12.4667,92.91,5.97,29,19
Northam,-4.2167,51.0333,58.39,6.69,69,35
Lahat,103.5333,-3.8,72.03,2.28,97,99
Marabu,114.0089,4.4148,77.14,3.96,94,40
Progreso,-89.6667,21.2833,98.11,15.1,66,27
Bulancak,38.2291,40.9372,62.42,3.02,100,75
Bongor,15.3722,10.2806,93.43,1.72,24,90
Namatanai,152.4333,-3.6667,79.54,6.44,84,98
Yen Bai,104.8667,21.7,79.83,1.63,88,100
Kaduqli,29.7167,11.0167,93.09,5.03,30,89
Huangnihe,128.0239,43.5583,46.62,2.01,86,15
Francisco Beltrão,-53.055,-26.0811,64.87,7.9,91,57
Chanika,38.0167,-5.4167,66.79,2.42,84,100
Iztapa,-90.7075,13.9333,91.45,6.91,46,40
Ganzhou,115.4327,28.8184,65.68,1.32,83,99
Yining,114.5636,29.0361,62.71,1.36,90,88
Severo-Yeniseyskiy,93.0408,60.3725,30.27,7.76,96,100
Binzhou,118.0167,37.3667,58.39,6.8,83,47
Benicarló,0.4271,40.4165,76.14,11.63,66,11
Itoman,127.6694,26.1247,69.82,14.97,94,75
Lenti,16.5386,46.624,52.36,3.87,84,76
Nizhniy Kuranakh,125.4869,58.8353,51.06,2.59,68,65
Forio,13.8646,40.7342,67.08,6.06,71,100
Koutiala,-5.4642,12.3917,93.78,7.67,32,58
Batemans Bay,150.1833,-35.7167,50.92,7.52,77,54
Birao,22.7882,10.2849,89.17,3.65,24,40
Guía de Isora,-16.7795,28.2115,62.1,4.0,70,77
São José da Coroa Grande,-35.1478,-8.8978,76.89,7.63,75,21
Kargasok,80.8572,59.0556,39.94,7.87,65,36
Vao,167.4833,-22.6667,68.49,20.4,63,99
Atbasar,68.3333,51.8,60.75,10.65,40,25
Bafoulabé,-10.8321,13.8065,99.81,2.93,16,18
Hearst,-83.6665,49.6835,68.25,5.91,20,7
Avenal,-120.129,36.0041,83.48,1.54,22,16
Ancud,-73.8203,-41.8697,48.97,6.73,76,99
Sirte,16.5887,31.2089,71.51,9.86,80,5
Bukachacha,116.9167,52.9833,47.91,1.48,95,100
Chacabuco,-60.4739,-34.6417,51.8,6.49,53,40
Mayor Pablo Lagerenza,-60.7718,-19.9309,83.61,8.68,48,100
Rio Grande,-52.0986,-32.035,58.95,20.2,60,5
Hanyang,105.5126,32.1371,64.6,0.67,78,100
Atar,-13.0499,20.5169,96.64,8.61,13,82
Creston,-94.3614,41.0586,62.74,9.22,42,1
Pochutla,-96.4661,15.7432,90.82,8.19,50,73
Pauini,-66.9764,-7.7136,88.84,1.14,58,23
Nur-Sultan,71.446,51.1801,57.15,12.5,44,0
Ciudad Bolivar,-63.5497,8.1222,86.49,10.69,55,91
Taiyuan,112.5603,37.8694,62.46,3.44,55,0
Loreto,-101.9667,22.2667,87.08,7.09,16,50
Arni,79.2833,12.6667,89.31,4.03,48,89
Kuusamo,29.1833,65.9667,35.64,1.14,69,0
Tarbagatay,107.3602,51.4803,38.73,4.43,73,100
Nara,135.8049,34.6851,60.76,1.05,75,23
Biak,122.8766,-0.9131,76.01,5.75,85,75
Kozan,35.8157,37.4552,68.9,1.79,86,62
Onega,38.1404,63.9061,35.6,8.37,79,16
Bosaso,49.1816,11.2842,89.85,1.9,45,14
Almaznyy,40.045,48.0448,68.14,8.84,96,100
Sembabule,31.4567,-0.0772,63.73,4.21,87,31
Harper,-7.7169,4.375,80.53,8.93,84,98
Arenillas,-2.8462,41.3471,57.81,2.62,84,65
Piaçabuçu,-36.4344,-10.4056,76.37,7.67,78,67
Saldanha,17.9442,-33.0117,53.65,8.01,83,12
Maningrida,134.2667,-12.0667,68.22,8.16,91,66
Belmonte,-38.8828,-15.8631,79.3,4.85,81,100
La Macarena,-73.7849,2.1837,79.12,3.18,94,88
